2010/01/15 00:00:00 1.755000e-06
2010/02/15 00:00:00 1.911000e-06
2010/03/15 00:00:00 2.320500e-06
2010/04/15 00:00:00 2.944500e-06
2010/05/15 00:00:00 2.866500e-06
2010/06/15 00:00:00 2.223000e-06
2010/07/15 00:00:00 1.618500e-06
2010/08/15 00:00:00 1.462500e-06
2010/09/15 00:00:00 1.443000e-06
2010/10/15 00:00:00 1.462500e-06
2010/11/15 00:00:00 1.618500e-06
2010/12/15 00:00:00 1.755000e-06
2011/01/15 00:00:00 1.755000e-06
2011/02/15 00:00:00 1.911000e-06
2011/03/15 00:00:00 2.320500e-06
2011/04/15 00:00:00 2.944500e-06
2011/05/15 00:00:00 2.866500e-06
2011/06/15 00:00:00 2.223000e-06
2011/07/15 00:00:00 1.618500e-06
2011/08/15 00:00:00 1.462500e-06
2011/09/15 00:00:00 1.443000e-06
2011/10/15 00:00:00 1.462500e-06
2011/11/15 00:00:00 1.618500e-06
2011/12/15 00:00:00 1.755000e-06
2012/01/15 00:00:00 1.755000e-06
2012/02/15 00:00:00 1.911000e-06
2012/03/15 00:00:00 2.320500e-06
2012/04/15 00:00:00 2.944500e-06
2012/05/15 00:00:00 2.866500e-06
2012/06/15 00:00:00 2.223000e-06
2012/07/15 00:00:00 1.618500e-06
2012/08/15 00:00:00 1.462500e-06
2012/09/15 00:00:00 1.443000e-06
2012/10/15 00:00:00 1.462500e-06
2012/11/15 00:00:00 1.618500e-06
2012/12/15 00:00:00 1.755000e-06
2013/01/15 00:00:00 1.755000e-06
2013/02/15 00:00:00 1.911000e-06
2013/03/15 00:00:00 2.320500e-06
2013/04/15 00:00:00 2.944500e-06
2013/05/15 00:00:00 2.866500e-06
2013/06/15 00:00:00 2.223000e-06
2013/07/15 00:00:00 1.618500e-06
2013/08/15 00:00:00 1.462500e-06
2013/09/15 00:00:00 1.443000e-06
2013/10/15 00:00:00 1.462500e-06
2013/11/15 00:00:00 1.618500e-06
2013/12/15 00:00:00 1.755000e-06
2014/01/15 00:00:00 1.755000e-06
2014/02/15 00:00:00 1.911000e-06
2014/03/15 00:00:00 2.320500e-06
2014/04/15 00:00:00 2.944500e-06
2014/05/15 00:00:00 2.866500e-06
2014/06/15 00:00:00 2.223000e-06
2014/07/15 00:00:00 1.618500e-06
2014/08/15 00:00:00 1.462500e-06
2014/09/15 00:00:00 1.443000e-06
2014/10/15 00:00:00 1.462500e-06
2014/11/15 00:00:00 1.618500e-06
2014/12/15 00:00:00 1.755000e-06
