2021/02/15 00:00:00 1.293600e-09
2021/03/15 00:00:00 1.570800e-09
2021/04/15 00:00:00 1.993200e-09
2021/05/15 00:00:00 1.940400e-09
2021/06/15 00:00:00 1.504800e-09
2021/07/15 00:00:00 1.095600e-09
2021/08/15 00:00:00 9.900000e-10
2021/09/15 00:00:00 9.768000e-10
2021/10/15 00:00:00 9.900000e-10
2021/11/15 00:00:00 1.095600e-09
2021/12/15 00:00:00 1.188000e-09
